session_id,date_utc,start_time_utc,end_time_utc,duration_first_to_last_spectrum_h,target_names_su,field_identifier,ra_j2000_commanded,dec_j2000_commanded,coordinate_epoch,center_frequency_mhz,bandwidth_mhz,channel_count_pol1,dump_cadence_s,integration_time_s,calibration_state,file_provenance,rpfits_association,spectrum_association,pointing_association,scanlog_association,source_locators
c132181552,'2013-08-06        ',~15:52UT (from filename convention; DERIVED),UNKNOWN,UNKNOWN,"wow_f1(19.42444h,-26.95)",field1_EastBeam,19.42444h,-26.95deg,'j2000             ',1420.0,8.0,4096 (rpf header),5.0 median (session-matched tarballs),"5.0 per plan (Tint col, XLS Sensitivity sheet); executed value UNCONFIRMED",RELATIVE_NORMALIZATION_PROVISIONAL_classC,DONOR_SUPPLIED|RPFITS_RAW_OBSERVATIONAL,analysis/rpfits_card_inventory.json#c132181552.rpf,UNKNOWN,analysis/rpfits_su_widescan.json#c132181552.rpf,UNKNOWN,rpf header cards; SU table; analysis/dump_spacing_stats.json; plan: original/…-001/2013obs/Mt Pleasant 2013 Observing PLAN (draft 2013-07-22).xls (text render: extracted/HOBART_XLS_PLAN_TEXT.txt)
c132182003,'2013-08-06        ',~20:03UT (from filename convention; DERIVED),UNKNOWN,UNKNOWN,"zenith(19.42444h,-28.95)",UNKNOWN,UNKNOWN,UNKNOWN,'j2000             ',1420.0,8.0,4096 (rpf header),5.0 median (session-matched tarballs),"5.0 per plan (Tint col, XLS Sensitivity sheet); executed value UNCONFIRMED",RELATIVE_NORMALIZATION_PROVISIONAL_classC,DONOR_SUPPLIED|RPFITS_RAW_OBSERVATIONAL,analysis/rpfits_card_inventory.json#c132182003.rpf,UNKNOWN,analysis/rpfits_su_widescan.json#c132182003.rpf,UNKNOWN,rpf header cards; SU table; analysis/dump_spacing_stats.json; plan: original/…-001/2013obs/Mt Pleasant 2013 Observing PLAN (draft 2013-07-22).xls (text render: extracted/HOBART_XLS_PLAN_TEXT.txt)
c132190518,'2013-08-07        ',~05:18UT (from filename convention; DERIVED),UNKNOWN,UNKNOWN,"wow_f2(19.47139h,-26.95)",field2_WestBeam,19.47139h,-26.95deg,'j2000             ',1420.0,8.0,4096 (rpf header),5.0 median (session-matched tarballs),"5.0 per plan (Tint col, XLS Sensitivity sheet); executed value UNCONFIRMED",RELATIVE_NORMALIZATION_PROVISIONAL_classC,DONOR_SUPPLIED|RPFITS_RAW_OBSERVATIONAL,analysis/rpfits_card_inventory.json#c132190518.rpf,wow_field2_2013doy219.tar.gz (+0518/0742 short archives),analysis/rpfits_su_widescan.json#c132190518.rpf,wow_field2_2013doy219.tar.gz (+0518/0742 short archives),rpf header cards; SU table; analysis/dump_spacing_stats.json; plan: original/…-001/2013obs/Mt Pleasant 2013 Observing PLAN (draft 2013-07-22).xls (text render: extracted/HOBART_XLS_PLAN_TEXT.txt)
c132190742,'2013-08-07        ',~07:42UT (from filename convention; DERIVED),UNKNOWN,UNKNOWN,"wow_f2(19.47139h,-26.95)",field2_WestBeam,19.47139h,-26.95deg,'j2000             ',1420.0,8.0,4096 (rpf header),5.0 median (session-matched tarballs),"5.0 per plan (Tint col, XLS Sensitivity sheet); executed value UNCONFIRMED",RELATIVE_NORMALIZATION_PROVISIONAL_classC,DONOR_SUPPLIED|RPFITS_RAW_OBSERVATIONAL,analysis/rpfits_card_inventory.json#c132190742.rpf,wow_field2_2013doy219.tar.gz (+0518/0742 short archives),analysis/rpfits_su_widescan.json#c132190742.rpf,wow_field2_2013doy219.tar.gz (+0518/0742 short archives),rpf header cards; SU table; analysis/dump_spacing_stats.json; plan: original/…-001/2013obs/Mt Pleasant 2013 Observing PLAN (draft 2013-07-22).xls (text render: extracted/HOBART_XLS_PLAN_TEXT.txt)
c132190804,'2013-08-07        ',~08:04UT (from filename convention; DERIVED),UNKNOWN,UNKNOWN,"wow_f2(19.47139h,-26.95)",field2_WestBeam,19.47139h,-26.95deg,'j2000             ',1420.0,8.0,4096 (rpf header),5.0 median (session-matched tarballs),"5.0 per plan (Tint col, XLS Sensitivity sheet); executed value UNCONFIRMED",RELATIVE_NORMALIZATION_PROVISIONAL_classC,DONOR_SUPPLIED|RPFITS_RAW_OBSERVATIONAL,analysis/rpfits_card_inventory.json#c132190804.rpf,wow_field2_2013doy219.tar.gz (+0518/0742 short archives),analysis/rpfits_su_widescan.json#c132190804.rpf,wow_field2_2013doy219.tar.gz (+0518/0742 short archives),rpf header cards; SU table; analysis/dump_spacing_stats.json; plan: original/…-001/2013obs/Mt Pleasant 2013 Observing PLAN (draft 2013-07-22).xls (text render: extracted/HOBART_XLS_PLAN_TEXT.txt)
c132191215,'2013-08-07        ',~12:15UT (from filename convention; DERIVED),UNKNOWN,UNKNOWN,"wow_f2(19.47139h,-26.95)",field2_WestBeam,19.47139h,-26.95deg,'j2000             ',1420.0,8.0,4096 (rpf header),5.0 median (session-matched tarballs),"5.0 per plan (Tint col, XLS Sensitivity sheet); executed value UNCONFIRMED",RELATIVE_NORMALIZATION_PROVISIONAL_classC,DONOR_SUPPLIED|RPFITS_RAW_OBSERVATIONAL,analysis/rpfits_card_inventory.json#c132191215.rpf,wow_field2_2013doy219.tar.gz (+0518/0742 short archives),analysis/rpfits_su_widescan.json#c132191215.rpf,wow_field2_2013doy219.tar.gz (+0518/0742 short archives),rpf header cards; SU table; analysis/dump_spacing_stats.json; plan: original/…-001/2013obs/Mt Pleasant 2013 Observing PLAN (draft 2013-07-22).xls (text render: extracted/HOBART_XLS_PLAN_TEXT.txt)
c132191523,'2013-08-07        ',~15:23UT (from filename convention; DERIVED),UNKNOWN,UNKNOWN,"wow_f2(19.47139h,-26.95)",field2_WestBeam,19.47139h,-26.95deg,'j2000             ',1420.0,8.0,4096 (rpf header),5.0 median (session-matched tarballs),"5.0 per plan (Tint col, XLS Sensitivity sheet); executed value UNCONFIRMED",RELATIVE_NORMALIZATION_PROVISIONAL_classC,DONOR_SUPPLIED|RPFITS_RAW_OBSERVATIONAL,analysis/rpfits_card_inventory.json#c132191523.rpf,wow_field2_2013doy219.tar.gz (+0518/0742 short archives),analysis/rpfits_su_widescan.json#c132191523.rpf,wow_field2_2013doy219.tar.gz (+0518/0742 short archives),rpf header cards; SU table; analysis/dump_spacing_stats.json; plan: original/…-001/2013obs/Mt Pleasant 2013 Observing PLAN (draft 2013-07-22).xls (text render: extracted/HOBART_XLS_PLAN_TEXT.txt)
c132191831,'2013-08-07        ',~18:31UT (from filename convention; DERIVED),UNKNOWN,UNKNOWN,"zenith(19.47139h,-28.95)",UNKNOWN,UNKNOWN,UNKNOWN,'j2000             ',1420.0,8.0,4096 (rpf header),5.0 median (session-matched tarballs),"5.0 per plan (Tint col, XLS Sensitivity sheet); executed value UNCONFIRMED",RELATIVE_NORMALIZATION_PROVISIONAL_classC,DONOR_SUPPLIED|RPFITS_RAW_OBSERVATIONAL,analysis/rpfits_card_inventory.json#c132191831.rpf,wow_field2_2013doy219.tar.gz (+0518/0742 short archives),analysis/rpfits_su_widescan.json#c132191831.rpf,wow_field2_2013doy219.tar.gz (+0518/0742 short archives),rpf header cards; SU table; analysis/dump_spacing_stats.json; plan: original/…-001/2013obs/Mt Pleasant 2013 Observing PLAN (draft 2013-07-22).xls (text render: extracted/HOBART_XLS_PLAN_TEXT.txt)
c132560252,'2013-09-13        ',~02:52UT (from filename convention; DERIVED),UNKNOWN,UNKNOWN,"wow_f1(19.42444h,-26.95)",field1_EastBeam,19.42444h,-26.95deg,'j2000             ',1420.0,8.0,4096 (rpf header),5.0 median (session-matched tarballs),"5.0 per plan (Tint col, XLS Sensitivity sheet); executed value UNCONFIRMED",RELATIVE_NORMALIZATION_PROVISIONAL_classC,DONOR_SUPPLIED|RPFITS_RAW_OBSERVATIONAL,analysis/rpfits_card_inventory.json#c132560252.rpf,wow_field1_2013doy256/258.tar.gz,analysis/rpfits_su_widescan.json#c132560252.rpf,wow_field1_2013doy256/258.tar.gz,rpf header cards; SU table; analysis/dump_spacing_stats.json; plan: original/…-001/2013obs/Mt Pleasant 2013 Observing PLAN (draft 2013-07-22).xls (text render: extracted/HOBART_XLS_PLAN_TEXT.txt)
c132560429,'2013-09-13        ',~04:29UT (from filename convention; DERIVED),UNKNOWN,UNKNOWN,"wow_f1(19.42444h,-26.95)",field1_EastBeam,19.42444h,-26.95deg,'j2000             ',1420.0,8.0,4096 (rpf header),5.0 median (session-matched tarballs),"5.0 per plan (Tint col, XLS Sensitivity sheet); executed value UNCONFIRMED",RELATIVE_NORMALIZATION_PROVISIONAL_classC,DONOR_SUPPLIED|RPFITS_RAW_OBSERVATIONAL,analysis/rpfits_card_inventory.json#c132560429.rpf,wow_field1_2013doy256/258.tar.gz,analysis/rpfits_su_widescan.json#c132560429.rpf,wow_field1_2013doy256/258.tar.gz,rpf header cards; SU table; analysis/dump_spacing_stats.json; plan: original/…-001/2013obs/Mt Pleasant 2013 Observing PLAN (draft 2013-07-22).xls (text render: extracted/HOBART_XLS_PLAN_TEXT.txt)
c132560601,'2013-09-13        ',~06:01UT (from filename convention; DERIVED),UNKNOWN,UNKNOWN,"wow_f1(19.42444h,-26.95)",field1_EastBeam,19.42444h,-26.95deg,'j2000             ',1420.0,8.0,4096 (rpf header),5.0 median (session-matched tarballs),"5.0 per plan (Tint col, XLS Sensitivity sheet); executed value UNCONFIRMED",RELATIVE_NORMALIZATION_PROVISIONAL_classC,DONOR_SUPPLIED|RPFITS_RAW_OBSERVATIONAL,analysis/rpfits_card_inventory.json#c132560601.rpf,wow_field1_2013doy256/258.tar.gz,analysis/rpfits_su_widescan.json#c132560601.rpf,wow_field1_2013doy256/258.tar.gz,rpf header cards; SU table; analysis/dump_spacing_stats.json; plan: original/…-001/2013obs/Mt Pleasant 2013 Observing PLAN (draft 2013-07-22).xls (text render: extracted/HOBART_XLS_PLAN_TEXT.txt)
c132580245,'2013-09-15        ',~02:45UT (from filename convention; DERIVED),UNKNOWN,UNKNOWN,"wow_f1(19.42444h,-26.95)",field1_EastBeam,19.42444h,-26.95deg,'j2000             ',1420.0,8.0,4096 (rpf header),5.0 median (session-matched tarballs),"5.0 per plan (Tint col, XLS Sensitivity sheet); executed value UNCONFIRMED",RELATIVE_NORMALIZATION_PROVISIONAL_classC,DONOR_SUPPLIED|RPFITS_RAW_OBSERVATIONAL,analysis/rpfits_card_inventory.json#c132580245.rpf,UNKNOWN,analysis/rpfits_su_widescan.json#c132580245.rpf,UNKNOWN,rpf header cards; SU table; analysis/dump_spacing_stats.json; plan: original/…-001/2013obs/Mt Pleasant 2013 Observing PLAN (draft 2013-07-22).xls (text render: extracted/HOBART_XLS_PLAN_TEXT.txt)
c142050613,'2014-07-24        ',~06:13UT (from filename convention; DERIVED),UNKNOWN,UNKNOWN,"wow_f2(19.47139h,-26.95)",field2_WestBeam,19.47139h,-26.95deg,'j2000             ',1420.0,8.0,4096 (rpf header),5.0 median (session-matched tarballs),"5.0 per plan (Tint col, XLS Sensitivity sheet); executed value UNCONFIRMED",RELATIVE_NORMALIZATION_PROVISIONAL_classC,DONOR_SUPPLIED|RPFITS_RAW_OBSERVATIONAL,analysis/rpfits_card_inventory.json#c142050613.rpf,wow_field2_2014doy205.tar.gz,analysis/rpfits_su_widescan.json#c142050613.rpf,wow_field2_2014doy205.tar.gz,rpf header cards; SU table; analysis/dump_spacing_stats.json; plan: original/…-001/2013obs/Mt Pleasant 2013 Observing PLAN (draft 2013-07-22).xls (text render: extracted/HOBART_XLS_PLAN_TEXT.txt)
c142051210,'2014-07-24        ',~12:10UT (from filename convention; DERIVED),UNKNOWN,UNKNOWN,"wow_f2(19.47139h,-26.95)",field2_WestBeam,19.47139h,-26.95deg,'j2000             ',1420.0,8.0,4096 (rpf header),5.0 median (session-matched tarballs),"5.0 per plan (Tint col, XLS Sensitivity sheet); executed value UNCONFIRMED",RELATIVE_NORMALIZATION_PROVISIONAL_classC,DONOR_SUPPLIED|RPFITS_RAW_OBSERVATIONAL,analysis/rpfits_card_inventory.json#c142051210.rpf,wow_field2_2014doy205.tar.gz,analysis/rpfits_su_widescan.json#c142051210.rpf,wow_field2_2014doy205.tar.gz,rpf header cards; SU table; analysis/dump_spacing_stats.json; plan: original/…-001/2013obs/Mt Pleasant 2013 Observing PLAN (draft 2013-07-22).xls (text render: extracted/HOBART_XLS_PLAN_TEXT.txt)
c142051324,'2014-07-24        ',~13:24UT (from filename convention; DERIVED),UNKNOWN,UNKNOWN,"wow_f2(19.47139h,-26.95)",field2_WestBeam,19.47139h,-26.95deg,'j2000             ',1420.0,8.0,4096 (rpf header),5.0 median (session-matched tarballs),"5.0 per plan (Tint col, XLS Sensitivity sheet); executed value UNCONFIRMED",RELATIVE_NORMALIZATION_PROVISIONAL_classC,DONOR_SUPPLIED|RPFITS_RAW_OBSERVATIONAL,analysis/rpfits_card_inventory.json#c142051324.rpf,wow_field2_2014doy205.tar.gz,analysis/rpfits_su_widescan.json#c142051324.rpf,wow_field2_2014doy205.tar.gz,rpf header cards; SU table; analysis/dump_spacing_stats.json; plan: original/…-001/2013obs/Mt Pleasant 2013 Observing PLAN (draft 2013-07-22).xls (text render: extracted/HOBART_XLS_PLAN_TEXT.txt)
c142830108,'2014-10-10        ',~01:08UT (from filename convention; DERIVED),UNKNOWN,UNKNOWN,"wow_f1(19.42444h,-26.95)",field1_EastBeam,19.42444h,-26.95deg,'j2000             ',1420.0,8.0,4096 (rpf header),5.0 median (session-matched tarballs),"5.0 per plan (Tint col, XLS Sensitivity sheet); executed value UNCONFIRMED",RELATIVE_NORMALIZATION_PROVISIONAL_classC,DONOR_SUPPLIED|RPFITS_RAW_OBSERVATIONAL,analysis/rpfits_card_inventory.json#c142830108.rpf,wow_field1_2014doy283.tar.gz,analysis/rpfits_su_widescan.json#c142830108.rpf,wow_field1_2014doy283.tar.gz,rpf header cards; SU table; analysis/dump_spacing_stats.json; plan: original/…-001/2013obs/Mt Pleasant 2013 Observing PLAN (draft 2013-07-22).xls (text render: extracted/HOBART_XLS_PLAN_TEXT.txt)
c142830624,'2014-10-10        ',~06:24UT (from filename convention; DERIVED),UNKNOWN,UNKNOWN,"wow_f1(19.42444h,-26.95)",field1_EastBeam,19.42444h,-26.95deg,'j2000             ',1420.0,8.0,4096 (rpf header),5.0 median (session-matched tarballs),"5.0 per plan (Tint col, XLS Sensitivity sheet); executed value UNCONFIRMED",RELATIVE_NORMALIZATION_PROVISIONAL_classC,DONOR_SUPPLIED|RPFITS_RAW_OBSERVATIONAL,analysis/rpfits_card_inventory.json#c142830624.rpf,wow_field1_2014doy283.tar.gz,analysis/rpfits_su_widescan.json#c142830624.rpf,wow_field1_2014doy283.tar.gz,rpf header cards; SU table; analysis/dump_spacing_stats.json; plan: original/…-001/2013obs/Mt Pleasant 2013 Observing PLAN (draft 2013-07-22).xls (text render: extracted/HOBART_XLS_PLAN_TEXT.txt)
hobart_1999_doy076_077,1999-03-17/18,README_DOY_window,UNKNOWN,README window,19:22:22 -27:18 B1950,1999_grid (East/West-beam precursors),UNKNOWN (B1950 recorded),-27:18,B1950 (DOCUMENTED),UNKNOWN_in_file,UNKNOWN_in_file,1024-lag ACF dumps,UNKNOWN,UNKNOWN,NOT_ESTABLISHED_IN_ARCHIVE,DONOR_SUPPLIED|RAW_OBSERVATIONAL(fit.gz)+DOCUMENTATION(README),NOT_APPLICABLE,data/w*.fit.gz sequences,top-level README,none archived,top-level README; incident: Y-drive off 22:12-22:19 UT
hobart_1999_doy077,1999-03-18,README_DOY_window,UNKNOWN,README window,19:25:12 -27:18 B1950,1999_grid (East/West-beam precursors),UNKNOWN (B1950 recorded),-27:18,B1950 (DOCUMENTED),UNKNOWN_in_file,UNKNOWN_in_file,1024-lag ACF dumps,UNKNOWN,UNKNOWN,NOT_ESTABLISHED_IN_ARCHIVE,DONOR_SUPPLIED|RAW_OBSERVATIONAL(fit.gz)+DOCUMENTATION(README),NOT_APPLICABLE,data/w*.fit.gz sequences,top-level README,none archived,top-level README; incident: correlator disk full
hobart_1999_doy079_080,1999-03-20/21,README_DOY_window,UNKNOWN,README window,19:25:12 -27:18 B1950,1999_grid (East/West-beam precursors),UNKNOWN (B1950 recorded),-27:18,B1950 (DOCUMENTED),UNKNOWN_in_file,UNKNOWN_in_file,1024-lag ACF dumps,UNKNOWN,UNKNOWN,NOT_ESTABLISHED_IN_ARCHIVE,DONOR_SUPPLIED|RAW_OBSERVATIONAL(fit.gz)+DOCUMENTATION(README),NOT_APPLICABLE,data/w*.fit.gz sequences,top-level README,none archived,top-level README; incident: 02-03UT data lost
hobart_1999_doy081_082,1999-03-22/23,README_DOY_window,UNKNOWN,README window,19:22:22 -26:48 B1950 (command mislabelled),1999_grid (East/West-beam precursors),UNKNOWN (B1950 recorded),-26:48,B1950 (DOCUMENTED),UNKNOWN_in_file,UNKNOWN_in_file,1024-lag ACF dumps,UNKNOWN,UNKNOWN,NOT_ESTABLISHED_IN_ARCHIVE,DONOR_SUPPLIED|RAW_OBSERVATIONAL(fit.gz)+DOCUMENTATION(README),NOT_APPLICABLE,data/w*.fit.gz sequences,top-level README,none archived,top-level README; incident: ~1.5 kHz Doppler error
hobart_1999_doy091_092,1999-04-01/02,README_DOY_window,UNKNOWN,README window,19:25:12 -26:48 B1950,1999_grid (East/West-beam precursors),UNKNOWN (B1950 recorded),-26:48,B1950 (DOCUMENTED),UNKNOWN_in_file,UNKNOWN_in_file,1024-lag ACF dumps,UNKNOWN,UNKNOWN,NOT_ESTABLISHED_IN_ARCHIVE,DONOR_SUPPLIED|RAW_OBSERVATIONAL(fit.gz)+DOCUMENTATION(README),NOT_APPLICABLE,data/w*.fit.gz sequences,top-level README,none archived,top-level README; incident: ACT crash
hobart_1999_doy099_100,1999-04-09/10,README_DOY_window,UNKNOWN,README window,19:25:12 -26:48 B1950,1999_grid (East/West-beam precursors),UNKNOWN (B1950 recorded),-26:48,B1950 (DOCUMENTED),UNKNOWN_in_file,UNKNOWN_in_file,1024-lag ACF dumps,UNKNOWN,UNKNOWN,NOT_ESTABLISHED_IN_ARCHIVE,DONOR_SUPPLIED|RAW_OBSERVATIONAL(fit.gz)+DOCUMENTATION(README),NOT_APPLICABLE,data/w*.fit.gz sequences,top-level README,none archived,top-level README; incident: none noted
